id,smiles,true
CHEMBL33863,C\1(=N/OCCC(=O)O)/[C@@H]2C[C@H](C1)CC2,-3.0062270774
CHEMBL284755,c12c(nc[nH]c1=O)C(=O)C=CC2=O,0.1521087368
CHEMBL33232,N(=C\1/C=CC(=O)C=C1)\C(=O)C,0.0688784599
CHEMBL286232,n1c[n-]c2c1c[nH+]cc2,-2.1247989772
CHEMBL34269,C1=C[C@@H](N)Cc2c1cccc2,-2.5107223855
CHEMBL284488,c12nc[nH]c2ccnc1NCCO,-2.966684876
CHEMBL431896,c12c(nccc2[nH]cn1)N(C)C,-2.9074123174
CHEMBL33547,C(=N\NCCCCC)(/C(=O)[O-])\C,-2.7164169745
CHEMBL32954,c12c(n3c(C1=O)ccc3)ccs2,-1.054634357
CHEMBL36239,[C@]12(N(CCc3c1cccc3)CCC2)C,-3.1196076588
CHEMBL35790,O1C([C@](CC1=O)(CC)C)(C)C,-2.8601965533
CHEMBL32694,C1(=O)[C@H](C(C)(C)C)CCO1,-2.8486051952
CHEMBL32696,C1(=O)OC[C@@H](C(C)(C)C)C1,-2.8282206315
CHEMBL286453,C1(=O)OC[C@](C1)(CC)C,-2.803857276
CHEMBL287301,n12c(c3c([nH]c1=O)cccc3)cc(c2)C,-2.4882169089
CHEMBL35845,C(C(=O)OC)[C@H](C[N+](C)(C)C)N,-2.9216213374
CHEMBL32167,C1(=O)OC(C[C@]1(CC)C)(C)C,-2.8477023983
CHEMBL285217,C1(=O)OC[C@H](C1)C(C)C,-2.7982776297
CHEMBL34149,n1(c(=O)[nH]c(c(c1=O)N)N)C,-2.7057234249
CHEMBL793,[nH]1c(=O)n(c(=O)c2c1[nH]c(=O)[nH]2)C,-2.3034579761
CHEMBL794,[nH]1c(=O)n(c(=O)c2c1[nH]c(=O)n2C)C,-2.378628921
CHEMBL35630,C1(=O)[C@](C(C)C)(CCS1)C,-2.6416440693
CHEMBL34423,C1(=O)C(CCS1)(CC)CC,-2.6470485722
CHEMBL35530,c1([nH]c(=O)[nH]c1)C(=O)c1occc1,-1.3094279287
CHEMBL34533,C(=O)(C(=C)Br)O,-1.4105641067
CHEMBL433233,c12c3c(cccn3nc1)C[C@H](C2)N,-2.5665568595
CHEMBL33959,O1C(=O)Cc2c1cc(cc2)CC(C)C,-2.8284806393
CHEMBL422577,c1(cc(OC)ccc1)c1cnccc1,-2.2932350026
CHEMBL35505,n1nc(c2c(c1NN)cccc2)NN,-2.1286378757
CHEMBL286189,n1c(n(ccc1=O)COCCO)N,-2.5055523695
CHEMBL35581,[nH]1c(=O)c(C=C(F)F)c[nH]c1=O,-1.9193015986
CHEMBL431307,C1(=O)N([C@@H](Cc2n(cnc2)C)CO1)C,-3.9317695852
CHEMBL288389,[n+]1([n-]c(=O)on1)c1ccc(cc1)Cl,-0.5935770298
CHEMBL288298,n1(C(=C)C(=O)C)ncnc1,-1.4190235277
CHEMBL37240,c12c(c(=O)nn[nH]2)cccc1C(=O)N,-0.9844652595
CHEMBL288958,CN(N=O)C(=O)N,-1.2873764068
CHEMBL289010,c12c(n(cn1)CCC)N=CNC[C@H]2O,-2.8652699321
CHEMBL287366,n12c(nnn(c1=O)C)c(cn2)C(=O)N,-0.7750920195
CHEMBL288850,C1(=O)NCCCC[C@@H]1N,-3.1287607567
CHEMBL39929,C1(=O)NCC[C@H]1NC=O,-3.2075025122
CHEMBL38345,C(=C\[C@H]1CNCCC1)\c1ccccc1,-2.5868248065
CHEMBL39986,n1(c(=O)[nH]c2c(c1=O)[nH]cn2)CCC,-2.3176783257
CHEMBL38527,C(=C\1/CC[C@H](CC1)CCC)(\C(=O)O)/C,-2.2031990573
CHEMBL288574,n1(c(=O)c2c([nH]c1=O)cc[nH]2)C,-2.4291947477
CHEMBL288520,N1C(=O)N/C(=C\C2CCCCC2)/C1=O,-1.851419367
CHEMBL288660,n1c(=O)c2c(n3c1CCC3)CCC2,-2.7352513974
CHEMBL277776,[nH]1cc(cc1)CCC(=O)N,-3.2523426613
CHEMBL39231,c1(c(nc(n1C)C)F)[N+](=O)[O-],-0.6380939446
CHEMBL36988,[C@@]1(C(=O)O)(C[C@H](C(=O)O)CC1)N,-2.7436857844
CHEMBL289963,c1(=O)n2c(nc3c1CCCC3)CCC2,-2.5505919676
CHEMBL39019,c1(n(c(nc1)CCO)C)[N+](=O)[O-],-0.583746673
CHEMBL289439,C(=O)([C@@H](C[C@H](C(=O)O)C)N)O,-3.0914576934
CHEMBL288059,C(=C\CN)/[C@@H](N)CF,-3.282596848
CHEMBL41659,[C@@H]1([C@@H](C1)C(=O)O)[C@H](C(=O)O)N,-3.1890835126
CHEMBL38506,c1(oc(=O)sn1)c1nccnc1,-1.2744459244
CHEMBL43242,c1(n(c(nc1C)C)CCO)[N+](=O)[O-],-0.7088809249
CHEMBL41597,C([C@@H](/C=C/CN)N)(F)F,-3.2325087859
CHEMBL288544,N1[C@@H](C[C@@H]1C(=O)OC)C(=O)OC,-2.9636528977
CHEMBL287749,C(=CCN(C)C)=CC,-2.9399705296
CHEMBL290552,N1[C@H](C[C@@H]1C(=O)N)C(=O)N,-3.3266750957
CHEMBL41116,O1[C@@H](C(=O)O)CCC[C@@H]1CC,-2.6527981832
CHEMBL287747,C12(C(=O)[C@@H](OC1)C)CCN(CC2)C,-2.4554204496
CHEMBL288601,c1([N+](=O)[O-])n(cnc1F)C,-0.6498052956
CHEMBL40393,C1(=NCC[C@H]1C)NC(C1CC1)C1CC1,-3.6874455026
CHEMBL37568,c1([nH]cnc1)[C@H]1[C@@](N)(C)CCCC1,-3.754635228
CHEMBL41043,S(=O)(=O)(c1ccc(C(=O)C)cc1)C,-1.2808235977
CHEMBL38354,CCNP(=O)(O)O,-2.9613589656
CHEMBL291064,C(=N\c1ccc(cc1)C)(\N=C(N)N)/N,-3.1229133202
CHEMBL41272,C(=N)(N(c1cc(Cl)ccc1)C)N,-2.8143581235
CHEMBL40542,[C@H]12c3c(CC[C@@H]1NCCO2)cccc3,-3.0152685219
CHEMBL42710,c1(c(ccc(c1)CC=C)O)OC,-3.2940018227
CHEMBL295316,c1cc(c2c(c1)C(=O)C(=CC2=O)C)O,-0.2566909373
CHEMBL295082,c1(c([nH]ccc1=O)C)O,-2.634477992
CHEMBL40426,C(=O)(Oc1ccc(N)cc1)C,-3.6651078089
CHEMBL298456,n1c(n[nH]c1N)c1cc(ncc1)N,-2.2100681199
CHEMBL287899,c1(=O)c(ccc[nH]1)O,-2.2989639574
CHEMBL287875,n1c([nH]nc1C)c1cc(ncc1)CO,-1.8277645726
CHEMBL43605,[N+](=O)(CCOC(=O)C)[O-],-0.7889749302
CHEMBL289127,P(=O)(C#CCCO)(O)O,-2.7800829819
CHEMBL44174,P(=O)(/C=C/CCO)(O)O,-2.3095367266
CHEMBL46931,c1cccc(c1O)C,-3.125185608
CHEMBL415906,c12c3c(C(c1cccc2)CN)cccc3,-2.5340883995
CHEMBL46557,c1(c(Cl)cccc1Cl)Cl,-2.5321401788
CHEMBL43946,c12c([nH+]cn1ccc(=O)[n-]2)C(=O)N,-1.9971071811
CHEMBL45235,c1c(Cl)cccc1Cl,-3.1940201053
CHEMBL45315,O=C(CC)CC,-2.6835150392
CHEMBL296057,n1c(c([nH]c1)C)CCNCCN,-3.8319371749
CHEMBL47831,c12c(C(=O)C=C1)ccc(C(=O)N)c2,-0.6291065692
CHEMBL295053,n1c(snc1)N,-2.706463575
CHEMBL47807,c1(c(cc(cc1)O)C)C(=O)C,-2.0024379269
CHEMBL298246,C1C[C@H]2[C@H]3[C@H]([C@@H]1O2)C(=O)OC3=O,-2.4153806389
CHEMBL47548,n1c(snc1CCC)N,-2.8038818631
CHEMBL44551,c12c(c(ccc1C#N)OC)cccc2,-1.9019372211
CHEMBL297556,c1(nc(sn1)N)c1ncccn1,-1.7656166014
CHEMBL44735,n1c(nsc1N)c1cnccc1,-2.0732539907
CHEMBL47015,C(=O)(c1cc(/C=C/C(=O)C)ccc1)N,-1.340467324
CHEMBL46019,n1c(noc1N)c1ncccc1,-1.9965832977
CHEMBL48338,C(=S)(NN1CCCC1)N,-2.7916566583
CHEMBL48887,C\1(=C(\OC)/C)/C(=O)C=CC1=O,-0.9312482256
CHEMBL44630,N(C=O)(C1CCCCC1)C(C)C,-3.3088996754
CHEMBL291214,C(=O)NCC1CCCCC1,-3.1301963973
CHEMBL47461,C1(=O)[C@H]2[C@@H]([C@H](O1)OCC)[C@H]1O[C@@H]2CC1,-2.6309660887
CHEMBL296494,N[C@H](P(=O)(O)O)C,-2.8777103665
CHEMBL297878,n12c(n(ccc1=O)C)ccn2,-2.2163304167
CHEMBL44373,c1(n(cc(n1)CCN)C)C(C)(C)C,-3.7212394026
CHEMBL46655,C1(CC1)N(C=O)CCCCCCC,-2.9917042118
CHEMBL48122,C(=O)N[C@H](CCCCCC)C,-3.1177855192
CHEMBL43719,C(CCCCCNC=O)C,-3.0644856486
CHEMBL46360,n12c(nncc1c(nc2)C)N(C)C,-2.1176061579
CHEMBL299094,C(=O)NCC(C)C,-3.1365716708
