id,smiles,pot
3.10.5,C=CC[n+]2ccc(c1cc[n+](C)cc1)cc2,-0.426
3.10.6,CC(=O)C[n+]2ccc(c1cc[n+](C)cc1)cc2,-0.38
3.10.7,C[n+]2ccc(c1cc[n+](C/C=C/C#N)cc1)cc2,-0.369
3.10.8,CS/C(=C/[n+]2ccc(c1cc[n+](C)cc1)cc2)SC,-0.33
3.10.9,CCOC(=O)C[n+]2ccc(c1cc[n+](C)cc1)cc2,-0.362
3.10.11,COC(=O)/C=C/C[n+]2ccc(c1cc[n+](C)cc1)cc2,-0.381
3.10.12,C[n+]2ccc(c1cc[n+](CC(=S)N=O)cc1)cc2,-0.371
3.10.13,C[n+]3ccc(c2cc[n+](Cc1ccccc1)cc2)cc3,-0.408
3.11.1,CCSCC[n+]2ccc(c1cc[n+](CC)cc1)cc2,-0.428
3.11.2,CCC[n+]2ccc(c1cc[n+](CCC(=O)OC)cc1)cc2,-0.408
3.11.3,CCCCC[n+]2ccc(c1cc[n+](CCO)cc1)cc2,-0.438
3.11.4,C=CC[n+]2ccc(c1cc[n+](CC(=O)O)cc1)cc2,-0.39
3.11.5,C=CC[n+]2ccc(c1cc[n+](CC)cc1)cc2,-0.428
3.11.6,C=CC[n+]2ccc(c1cc[n+](CCCC#N)cc1)cc2,-0.383
3.11.8,C=CCC[n+]2ccc(c1cc[n+](CCCC#N)cc1)cc2,-0.394
3.11.9,C/C=C/C[n+]2ccc(c1cc[n+](CCCF)cc1)cc2,-0.418
3.11.10,C=C(C)C[n+]2ccc(c1cc[n+](CC(N)=O)cc1)cc2,-0.336
3.11.11,C=C(CC)C[n+]2ccc(c1cc[n+](CCOC)cc1)cc2,-0.396
3.12.2,C[n+]3ccc2ccc1ccc[n+](C)c1c2c3,-0.426
3.12.3,C[n+]3ccc2c(ccc1cc[n+](C)cc12)c3,-0.44
3.12.4,C[n+]3ccc2ccc1c(ccc[n+]1C)c2c3,-0.302
3.12.5,C[n+]3ccc2c(ccc1c[n+](C)ccc12)c3,-0.374
3.12.6,C[n+]3ccc1c(ccc2c1ccc[n+]2C)c3,-0.406
3.12.7,C[n+]3cccc2c1ccc[n+](C)c1ccc23,-0.268
3.12.8,c5cc[n+]4cc3ccc2c[n+]1ccccc1cc2c3cc4c5,-0.272
3.12.9,c5cc[n+]4cc3c(ccc2cc1cccc[n+]1cc23)cc4c5,-0.3
3.12.10,c5cc[n+]4cc3c(ccc2c[n+]1ccccc1cc23)cc4c5,-0.228
4.4.1,C[n+]1cccc(C(N)=O)c1,-0.936
4.4.2,C[n+]1ccc(C(N)=O)cc1,-0.77
4.4.3,CC(=O)c1cc[n+](C)cc1,-0.51
4.4.4,COC(=O)c1cc[n+](C)cc1,-0.72
4.4.5,CC[n+]1ccc(C#N)cc1,-0.626
4.4.7,c2ccc(c1cccc[nH+]1)nc2,-0.97
4.4.8,Cc2ccc(c1ccc(C)c[nH+]1)nc2,-1.05
4.4.9,c1c[nH+]c3c(c1)ccc2cccnc23,-0.85
4.6.6,Cc3cc2nc1[nH]c(=O)[nH]c(=O)c1nc2cc3C,-0.502
4.6.7,Cc3cc2nc1c(=O)[nH]c(=O)n(C)c1nc2cc3C,-0.509
4.6.8,Cc3cc2nc1[nH]c(=O)n(C)c(=O)c1nc2cc3C,-0.535
4.6.9,Cc3cc2nc1c(=O)n(C)c(=O)n(C)c1nc2cc3C,-0.53
4.7.1,C1SCc2nos3onc1c23,-0.375
4.7.2,O=S1Cc2nos3onc(C1)c23,-0.277
4.7.3,O=S1(=O)Cc2nos3onc(C1)c23,-0.227
4.7.4,C1Cc2nos3onc(C1)c23,-0.416
4.8.2,N#Cc1ccc(C#N)c2nsnc12,-0.49
4.8.3,c4coc(c2nc1nsnc1nc2c3ccco3)c4,-0.374
4.8.4,c4ccc(c2nc1nsnc1nc2c3ccccn3)nc4,-0.286
