codes,CHG,smiles,pot
CHEMBL1364277,0,O=C1NC(=S)N=C1c1c(O)[nH]c2ccccc12,-0.270009895270942
CHEMBL1364795,0,O=C(Nc1cccc(F)c1)c1cccnc1,-1.80394506135501
CHEMBL1364965,0,CSc1nnnn1-c1cccc(O)c1,-2.08971947159576
CHEMBL13696,0,NC(=O)c1cn(C(CO)CCc2ccccc2)cn1,-2.51356009116636
CHEMBL13790,0,N=C(N)NC(=N)Nc1cccc(Cl)c1,-2.86307705727989
CHEMBL1382001,0,Cc1ccc(-c2cc(-c3ccccc3)nc(N)c2C#N)o1,-1.56616210799369
CHEMBL1382278,0,CC(C)(C)C(=O)Nc1ccc(C(=O)Nc2cccnc2)cc1,-1.98350774099763
CHEMBL1382331,0,Cc1nc2cc3c(cc2c(C)c1C(=O)OC(C)C)OCO3,-2.00104223186319
CHEMBL1382355,0,CC(C)=CC(=O)Nc1nnc(C(C)C)s1,-2.01553796843305
CHEMBL1382693,0,COc1cc2nc(N(C)C)nc(N)c2cc1OC,-2.37574917497972
CHEMBL1383030,0,COc1cc2ccccc2cc1C(=O)Nc1cc(C)ccn1,-1.80274364949932
CHEMBL1384427,0,O=C(O)CCC1COc2ccccc2O1,-3.415129748078
CHEMBL1386135,0,O=C(NCCO)c1cc2c(s1)CCC2,-2.02019828566275
CHEMBL1386709,0,O=C(CCN1CCc2ccccc2C1)Nc1ccc(F)cc1,-3.29133823930244
CHEMBL1387539,0,N#Cc1cc(S(=O)(=O)c2ccc(F)cc2)c(N)nc1O,-1.66174806855409
CHEMBL1388663,0,CC1=CC(=O)C=C(C)C1=NOc1ccc([N+](=O)[O-])cc1,-0.528515203721617
CHEMBL1390316,0,Cc1ccc(N/C=C\C(=O)C2C(=O)CC(C)(C)CC2=O)cc1,-1.80325623501841
CHEMBL1390593,0,c1coc(CNc2nc(-c3cccs3)cs2)c1,-2.41286677618936
CHEMBL1391433,0,O=Cc1cccn1-c1cccc([N+](=O)[O-])c1,-0.40922404833835
CHEMBL1393278,0,O=C(NCc1ccccn1)C(=O)C1C(=O)Nc2ccccc21,-1.08088838361245
CHEMBL1393622,0,Cc1cnnc2ccc3c(no[n+]3[O-])c12,-0.788627555668456
CHEMBL1398171,0,Cc1nn(-c2nc3ccccc3[nH]2)c(N)c1-c1ccccc1,-2.88541371670572
CHEMBL13987,0,Cc1ccc2c(c1)N(C)CC(C1=NCCN1)O2,-3.16029867854883
CHEMBL1399482,0,CCOC(=O)C1CCCN(CC(=O)Nc2nccs2)C1,-2.39740100415536
CHEMBL1399667,0,O=C(Nc1ccc(N2CCCCC2)cc1)c1cccnc1,-1.89791514434232
CHEMBL1399994,0,Cc1cc(C(C)(C)C)cc(CNC2CCCCC2)c1O,-3.28887852497431
CHEMBL1402251,0,CN(C)CCNc1nc2c(c(=O)n(C)c(=O)n2C)n1C,-2.70838528230782
CHEMBL1402533,0,COc1ccc(NC(=O)NN2CCOCC2)cc1OC,-3.24308664207058
CHEMBL1402730,0,C=CCNC(=S)NC(=O)c1csc([N+](=O)[O-])c1,-0.285576888222694
CHEMBL1403025,0,O=C(NCCCn1ccnc1)c1ccccc1F,-2.23764986348729
CHEMBL1403044,0,COc1ccc(NC(=O)Nc2ccccn2)cc1OC,-2.64343181072474
CHEMBL1403876,0,Cc1ccc(C(=N)NOC(=O)CCCc2ccccc2)cc1,-2.43058994416282
CHEMBL1404743,0,Cc1noc(N)c1C1(O)C(=O)N(C(C)C)c2ccccc21,-2.60825958205333
CHEMBL1411542,0,O=C(NCCc1ccccc1)c1cc(-c2ccco2)on1,-1.77452605674147
CHEMBL1411782,0,O=C(O)COCc1nc2ccccc2s1,-1.59855192788426
CHEMBL1413867,0,O=C1CC(c2cccnc2)c2cc3c(cc2N1)OCCO3,-2.64698324679746
CHEMBL1414616,0,N#Cc1nc(COc2ccccc2)oc1N1CCCC1,-3.22131950202179
CHEMBL1414656,0,CC(=O)ON1C(C)(C)Cc2noc(N)c2C1(C)C,-2.9755397246229
CHEMBL1415008,0,CC(=O)c1cc(C#N)c(SCCC(C)C)nc1C,-1.52666389969468
CHEMBL1415064,0,CC(c1ccccc1)N1C(=O)C2C3CCC(C3)C2C1=O,-2.71207262432142
CHEMBL1416270,0,COc1ccccc1-c1cc(C(=O)N2CCCCC2)no1,-2.00574624448329
CHEMBL1416879,0,CN1C(=O)c2ccc(C(=O)NCc3ccccc3)cc2C1=O,-0.942715813446914
CHEMBL1417290,0,CCN(CC)c1ccc2oc(=O)c(C)nc2c1,-1.17745800485931
CHEMBL1418320,0,CC(C)c1ccc(/C=C/C(=O)N2CCCCCC2)cc1,-1.82976177622144
CHEMBL141914,0,CCC1=Nc2c(C)nn(C)c2C2=NCCN12,-2.6254908820571
CHEMBL1419536,0,O=C(/C=C/c1ccco1)Nc1nc(-c2ccccn2)cs1,-1.46762921443065
CHEMBL1419662,0,FC(F)(F)c1cccc(NCc2cn3cccnc3n2)c1,-1.87076538758992
CHEMBL1420385,0,Cc1cc(C)c(NC(=O)C(C)(C)C)c(Cl)c1,-3.15170057456871
CHEMBL1420788,0,COc1ccc(NC(=O)c2ccco2)c2ccccc12,-2.08830533453281
CHEMBL1421148,0,CC(C)N1OC2CC1c1nc3ccccc3n1C2,-2.87338859640021
CHEMBL1422250,0,COc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1,-2.47769827820613
CHEMBL1423856,0,Cc1sc2ncn(Cc3ccccc3F)c(=O)c2c1C,-2.18652221688026
CHEMBL1424731,0,O=C(NCc1ccco1)c1ccc(=O)oc1,-1.48216678850728
CHEMBL1426182,0,CCc1nc(N)nc2c1C(=O)CC(C)(C)C2,-1.96481875798529
CHEMBL142705,0,N#C/C(C(=O)Nc1ccc(Cl)nc1)=C(/O)C1CC1,-1.97441730421884
CHEMBL1427253,0,Cc1ccccc1NCc1nnc2n1CCCCC2,-3.43714974078098
CHEMBL1429821,0,Clc1ccc(-c2nc3n(n2)Cc2ccccc2-3)cc1,-2.44035080588933
CHEMBL1430391,0,CCCc1ccc2c(N)c(C#N)sc2n1,-1.93090719198308
CHEMBL1430912,0,O=[N+]([O-])c1cccc(-c2nnc3ccccn23)c1,-0.395683186294983
CHEMBL1432053,0,Cc1ccc(C(=O)Nc2cc3c(oc2=O)CCCC3=O)cc1,-1.75516626459118
CHEMBL1432187,0,COc1cccc(N2CCN(C3CCCC(C)C3)CC2)c1,-3.05835192068267
CHEMBL1433783,0,O=c1cnc2cncnc2n1Cc1ccccc1Cl,-1.08168591891677
CHEMBL1434975,0,N=C(N)N/N=C(/c1ccccc1)c1ccc(O)cc1O,-2.263508187432
CHEMBL1437833,0,Cc1cc(C)nc(NS(=O)(=O)c2ccccc2)n1,-1.83199106453327
CHEMBL1438277,0,COC(=O)c1c(N)sc(C(C)=O)c1C,-2.01127033569289
CHEMBL1438681,0,O=C(Nc1cccc2ccccc12)c1ccc([N+](=O)[O-])s1,-0.164579856723786
CHEMBL1454842,0,c1cc(-c2nsc(-c3ccncc3)n2)ccn1,-1.2215928738786
CHEMBL1454979,0,CCN(CC)Cc1nc2ncccn2c1Br,-1.70682731044947
CHEMBL1455660,0,CCC(=O)Nc1ccc(SC#N)cc1C,-2.39662599165094
CHEMBL1457511,0,CC(=O)NCC(=O)OCc1ccc([N+](=O)[O-])cc1,-0.499950539406741
CHEMBL1458077,0,CC(=O)Nc1ccc(-c2ccccc2)s1,-2.33230513871903
CHEMBL1459205,0,CCOC(=O)N1CCC(c2cc(O)n3nccc3n2)CC1,-2.30623210112459
CHEMBL1459894,0,CNC(=O)CN(c1cccc2ccccc12)S(C)(=O)=O,-1.78189467342941
CHEMBL1460139,0,O=C1CC(c2ccccc2)CN1C(=O)c1cccnc1,-1.4223604276305
CHEMBL1460702,0,Cc1cc(NCc2cccnc2)nc(N)n1,-2.65458098184983
CHEMBL1462686,0,COc1ccccc1C1=NC(c2ccc(C)cc2)N=C1C,-2.69125978771706
